ID,Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,Air Quality
1878,36.5,79.1,26.5,48.7,35.3,18.6,1.58,6.6,451,Poor
8595,25.2,78.8,6.3,16.1,26.3,20.3,1.45,6.0,285,Moderate
5081,32.8,99.2,5.9,14.7,36.7,18.0,2.65,4.2,466,Poor
2072,21.5,72.1,50.8,61.0,26.2,7.5,1.38,5.8,686,Moderate
8726,34.6,88.7,49.7,73.1,37.9,37.4,2.2,9.0,692,Poor
4979,41.7,82.6,45.4,60.7,30.6,10.3,1.73,6.8,561,Poor
6473,18.2,71.7,2.0,5.6,25.2,4.0,1.05,11.2,476,Good
3392,35.7,58.4,9.3,18.5,31.9,13.0,1.68,6.3,611,Moderate
3001,32.7,76.4,4.9,19.8,22.7,17.1,1.6,8.5,380,Moderate
1684,42.1,89.0,43.7,54.2,37.7,16.1,2.18,4.2,730,Hazardous
1535,21.6,73.3,21.5,25.2,23.4,8.0,1.05,12.9,307,Good
3226,22.4,66.4,3.4,9.3,19.1,5.9,1.0,11.6,361,Good
2366,23.3,89.5,6.8,23.2,29.7,15.5,1.62,6.3,583,Moderate
5185,24.6,82.1,37.1,41.6,23.0,21.3,1.38,6.1,595,Moderate
7099,28.8,54.5,2.3,5.9,21.6,6.3,0.98,12.8,324,Good
5621,33.7,100.4,39.9,51.4,50.2,25.1,1.9,5.6,562,Hazardous
6433,34.6,79.8,2.4,15.4,30.6,10.8,2.16,4.0,639,Poor
257,40.4,87.4,13.5,30.1,33.4,20.5,2.0,5.9,660,Poor
5374,22.4,73.7,39.0,43.4,23.8,3.6,0.94,12.7,363,Good
4412,26.8,62.7,31.0,45.8,21.1,9.8,1.95,6.6,400,Moderate
4960,35.4,62.6,14.9,32.4,25.0,19.4,1.78,5.0,443,Poor
8949,38.3,95.6,11.7,31.8,43.5,21.9,2.68,4.7,537,Hazardous
8123,29.5,49.5,5.9,7.1,15.0,7.3,1.01,11.4,517,Good
1004,23.4,47.7,2.7,6.2,19.3,4.4,1.03,12.2,317,Good
1283,26.0,52.6,85.6,90.5,23.2,6.2,1.32,8.5,345,Moderate
1806,32.1,81.5,62.2,84.4,30.6,9.7,2.22,4.1,852,Poor
683,25.6,69.7,10.6,14.9,12.5,5.4,0.88,10.1,315,Good
8783,38.8,91.9,7.2,21.5,33.6,9.1,2.64,4.4,674,Poor
8988,34.9,86.3,7.1,30.5,43.2,-0.1,2.59,5.8,748,Poor
5044,32.2,72.0,44.8,60.7,32.4,11.5,1.35,6.8,501,Moderate
3336,31.2,68.4,34.0,45.4,29.1,6.1,1.4,6.4,619,Moderate
4072,31.1,95.7,2.9,12.3,46.2,-0.2,2.02,8.2,645,Poor
4738,29.8,75.9,12.0,21.6,18.7,5.7,0.98,12.2,595,Good
310,21.8,68.5,1.5,9.6,28.0,1.2,1.36,5.1,529,Moderate
1748,27.5,83.3,34.1,47.5,22.8,15.7,1.64,7.9,330,Moderate
1199,26.0,52.8,29.5,34.8,24.9,6.8,1.12,10.9,538,Good
6393,24.4,52.6,9.2,14.4,24.1,3.2,0.86,15.3,220,Good
7577,19.2,49.4,26.0,29.9,16.1,6.0,0.88,10.2,243,Good
6356,20.1,68.6,2.2,8.3,11.3,5.8,1.15,11.5,255,Good
1783,23.3,65.7,0.4,2.4,21.1,6.5,0.96,10.2,363,Good
6761,38.6,100.6,110.7,127.8,31.4,17.1,1.98,4.0,609,Poor
5016,28.5,72.9,16.5,20.8,17.9,7.3,0.95,11.5,392,Good
8952,27.7,72.1,6.0,10.0,22.1,2.0,1.01,12.5,379,Good
7554,20.9,55.0,11.8,14.9,29.3,-0.0,1.19,11.3,482,Good
7049,33.6,79.2,4.7,25.4,41.9,3.6,2.18,3.5,570,Poor
1558,30.1,78.7,39.9,44.4,24.0,10.1,1.56,13.2,423,Good
1377,26.2,59.3,0.5,6.0,24.5,5.9,1.14,10.5,301,Good
7210,25.0,56.6,5.4,9.0,20.1,2.1,1.02,13.0,383,Good
3570,22.8,86.6,7.5,17.2,26.5,-0.6,1.59,5.1,776,Moderate
2326,24.8,40.0,0.1,4.6,16.8,4.6,1.14,13.4,256,Good
936,37.4,68.9,0.4,10.6,20.7,2.0,1.32,6.7,342,Moderate
9863,25.6,65.2,13.3,19.8,28.9,2.6,1.02,10.2,281,Good
1015,36.8,64.6,31.4,38.7,19.7,5.1,1.61,6.1,481,Moderate
2911,29.0,88.0,57.9,84.4,23.5,15.1,2.27,5.1,763,Poor
3063,36.2,76.3,3.6,12.4,30.1,20.3,1.54,5.0,365,Poor
6778,24.9,77.3,2.6,10.8,22.2,2.1,0.84,11.1,215,Good
6315,27.3,45.3,5.7,10.6,22.8,6.4,1.01,15.4,625,Good
5599,36.6,93.1,0.4,11.5,41.8,25.8,2.29,5.3,666,Hazardous
2973,22.7,61.5,4.0,9.9,23.5,6.1,0.96,14.1,285,Good
9149,31.8,55.0,34.1,44.5,21.0,3.3,1.61,7.2,383,Moderate
7922,32.0,81.2,1.6,5.7,15.3,5.4,1.53,5.1,602,Moderate
7390,29.2,69.7,5.1,11.5,10.7,7.2,1.08,10.7,526,Good
5146,38.2,76.6,18.9,31.0,32.8,16.5,1.9,5.3,379,Poor
7196,34.0,66.6,35.4,36.6,21.5,13.5,1.24,5.3,593,Moderate
1369,28.3,67.2,17.5,30.0,27.4,6.8,1.48,6.3,438,Moderate
9270,33.1,82.3,11.5,31.5,24.7,24.7,1.08,3.7,544,Poor
1861,32.3,71.2,16.9,28.9,37.3,19.6,1.46,8.8,471,Moderate
2423,25.5,64.8,35.3,40.6,30.0,13.4,1.49,5.9,327,Moderate
8358,26.3,44.5,2.2,8.4,18.1,2.6,1.03,11.1,509,Good
9201,21.8,75.2,0.1,6.6,24.3,5.0,1.06,10.4,443,Good
9876,34.0,53.6,23.4,25.7,18.0,4.1,0.86,10.5,393,Good
3320,34.6,99.9,12.2,33.4,45.1,29.2,1.84,3.0,899,Hazardous
3774,25.8,40.4,9.3,15.6,16.4,7.1,1.16,10.5,330,Good
6711,27.7,79.9,17.4,23.0,25.1,0.3,0.9,10.7,282,Good
1567,24.7,73.4,11.7,14.5,21.0,4.5,0.83,10.4,477,Good
2470,27.9,72.7,2.0,9.9,14.4,5.3,1.02,11.1,313,Good
4795,36.3,76.5,7.6,25.1,27.5,4.8,1.95,6.1,498,Poor
1330,27.1,62.6,21.2,26.2,17.5,4.6,1.08,11.9,337,Good
8693,25.7,42.4,5.8,8.4,22.0,5.2,1.01,10.2,510,Good
878,35.1,70.5,2.9,19.9,38.5,16.6,1.78,6.2,486,Poor
9234,40.2,73.5,23.1,45.5,26.1,13.3,2.3,4.1,442,Poor
8118,37.1,84.0,36.0,49.3,35.1,7.5,2.27,4.3,614,Poor
9694,31.2,72.0,1.2,13.1,26.1,13.9,1.32,5.5,575,Moderate
9496,21.8,76.7,4.2,11.1,15.6,7.7,1.09,10.1,271,Good
7458,45.1,115.2,46.7,69.9,39.5,25.1,2.25,2.7,683,Hazardous
1151,29.7,45.0,49.3,52.5,19.6,7.1,0.96,10.1,391,Good
1294,37.4,74.6,91.2,98.0,32.4,3.0,1.2,8.4,508,Moderate
2005,38.2,91.3,50.8,72.0,33.3,19.4,2.11,4.2,592,Poor
9462,32.1,56.6,2.5,10.6,30.7,14.5,1.2,5.3,683,Moderate
6531,31.6,76.6,53.2,63.6,23.9,10.8,1.28,7.2,484,Moderate
8938,31.3,70.9,34.0,39.3,43.5,22.0,2.32,7.1,783,Poor
3153,37.2,63.7,31.9,41.1,24.2,14.9,1.56,6.5,499,Moderate
1136,34.5,72.5,24.1,39.2,25.1,17.5,1.91,3.7,611,Poor
7009,35.1,74.6,9.6,28.3,23.7,27.6,2.36,2.8,559,Hazardous
4380,23.7,69.1,2.4,8.1,12.2,0.9,1.0,13.1,245,Good
9,26.8,66.6,17.0,22.0,13.4,5.9,0.94,10.8,382,Good
7001,28.0,73.5,9.0,16.5,28.2,20.9,1.76,7.2,316,Moderate
8640,28.9,61.6,24.4,27.6,21.4,7.7,1.32,5.3,502,Moderate
767,25.2,40.5,3.5,9.1,23.4,8.3,0.87,10.0,455,Good
4883,23.6,93.3,3.2,16.3,25.8,7.2,1.55,6.8,339,Moderate
3573,34.8,74.7,5.9,34.7,39.7,12.9,2.36,4.1,746,Hazardous
7620,29.2,56.0,16.3,23.1,27.7,9.1,0.88,10.4,599,Good
7988,26.6,81.0,21.0,28.2,29.7,-2.2,1.41,6.8,216,Moderate
9523,49.8,93.1,0.4,8.1,42.0,3.6,3.16,3.4,758,Hazardous
7271,33.9,59.3,4.5,19.1,20.2,10.6,1.56,8.9,379,Moderate
6115,29.4,67.9,0.2,9.1,26.0,4.5,0.97,10.3,599,Good
8542,23.1,73.2,21.9,24.5,23.9,4.1,1.13,10.3,449,Good
2759,25.4,63.1,3.5,8.4,20.4,5.6,1.1,12.1,632,Good
1980,27.1,52.7,24.0,30.6,15.1,4.8,0.98,10.7,456,Good
7449,22.8,57.4,1.4,5.0,12.3,7.2,1.04,11.8,511,Good
2297,32.4,61.4,15.3,51.7,25.1,18.1,2.12,3.7,727,Poor
553,28.4,99.8,5.1,33.5,33.7,26.1,2.34,6.8,514,Hazardous
58,21.4,44.3,7.7,10.1,25.8,4.8,0.91,14.7,254,Good
8553,33.8,54.3,63.0,80.1,29.0,13.1,1.84,7.0,462,Moderate
3673,30.3,43.0,7.1,13.3,26.7,3.3,0.96,12.1,474,Good
7502,32.4,60.3,25.6,41.8,17.9,4.1,1.61,6.3,599,Moderate
397,30.9,104.5,14.7,29.4,29.2,20.5,2.03,5.2,572,Poor
4193,34.7,86.9,62.7,76.4,35.2,14.5,1.77,4.7,673,Poor
9692,27.3,61.1,3.3,6.3,25.3,9.4,1.11,10.1,237,Good
2011,24.6,62.6,2.1,8.0,23.1,3.9,1.0,10.5,671,Good
7547,35.2,71.0,16.9,25.1,30.2,13.6,1.48,6.3,342,Moderate
792,27.0,67.0,3.6,9.4,23.6,-0.1,0.95,14.0,596,Good
2142,32.9,60.1,24.7,37.7,26.6,4.3,1.66,5.6,577,Moderate
521,31.9,66.8,1.3,7.5,12.4,3.7,1.01,10.9,407,Good
9271,17.9,86.9,0.2,13.3,23.8,7.8,1.48,6.4,255,Moderate
681,30.1,79.9,27.8,37.5,21.3,7.1,1.46,6.1,618,Moderate
5197,41.9,86.3,7.5,12.1,28.8,-0.0,1.67,7.2,553,Moderate
6575,28.9,63.1,36.9,41.5,24.0,7.3,1.71,6.5,449,Moderate
4597,24.5,68.4,22.6,27.9,21.0,6.5,1.09,11.0,241,Good
1060,29.1,75.5,4.5,11.0,31.0,0.8,1.22,5.3,457,Moderate
4313,31.6,57.9,10.5,23.0,16.5,11.7,1.57,5.2,447,Moderate
572,31.7,92.9,30.7,37.4,40.8,21.0,2.03,3.7,651,Poor
9330,22.5,67.6,2.3,8.8,22.4,7.7,1.09,14.0,446,Good
6139,26.4,72.3,2.2,6.8,12.1,6.3,1.13,10.2,384,Good
6909,34.1,57.1,19.8,25.4,25.2,7.5,1.59,7.1,542,Moderate
2695,40.9,86.3,72.9,86.4,28.9,9.7,2.99,9.0,525,Poor
5336,31.9,72.8,1.7,10.0,18.5,5.3,1.14,10.9,326,Good
9676,23.6,47.6,2.0,7.1,22.2,6.1,1.06,11.0,422,Good
6261,22.6,49.9,5.5,8.9,16.2,6.3,1.0,10.8,429,Good
3657,38.3,53.8,0.0,17.2,37.6,14.0,1.99,7.1,409,Poor
3388,22.3,96.1,26.3,40.7,26.8,13.8,2.1,7.9,664,Poor
5575,30.7,63.1,2.9,4.8,11.1,8.8,1.02,10.5,381,Good
9667,26.5,76.0,4.8,10.5,18.1,3.6,0.83,12.1,245,Good
4191,31.1,88.5,1.0,20.8,32.6,14.5,1.6,5.2,488,Poor
3984,34.7,69.7,8.8,18.0,23.1,5.2,1.79,5.3,246,Moderate
3286,32.5,95.5,61.6,78.2,41.9,17.0,2.26,9.0,593,Poor
2314,32.9,75.6,36.1,48.7,27.9,16.6,1.49,6.2,527,Moderate
9611,24.8,49.6,7.7,11.2,23.0,3.8,0.92,12.8,250,Good
709,25.9,85.1,2.0,12.9,26.6,13.2,1.43,9.2,442,Moderate
580,20.5,54.8,23.1,25.6,21.7,6.6,0.87,12.3,243,Good
41,32.6,49.4,25.6,28.5,18.9,4.6,0.86,11.2,539,Good
1505,29.3,62.8,9.5,17.5,26.7,14.2,1.42,6.7,345,Moderate
7697,35.3,82.7,22.7,30.5,35.9,3.1,1.84,8.4,461,Moderate
413,36.5,73.8,21.2,31.6,33.8,6.9,1.84,5.5,625,Moderate
9643,26.8,51.2,2.3,5.5,23.9,2.3,0.99,10.1,442,Good
2710,24.4,56.5,44.2,51.4,16.3,3.0,1.0,10.0,390,Good
3759,23.9,53.2,16.6,23.4,19.0,6.3,0.92,10.2,411,Good
2040,25.6,74.5,12.1,17.0,25.0,1.2,0.95,13.8,273,Good
165,20.9,47.0,1.8,8.1,16.3,4.4,0.99,13.0,554,Good
8087,25.1,71.2,12.4,17.1,12.2,6.0,1.0,10.4,514,Good
7803,33.7,60.8,24.7,35.3,23.5,9.5,1.47,6.4,354,Moderate
208,24.8,54.1,14.4,26.4,29.4,15.7,1.46,7.5,569,Moderate
2167,34.6,87.9,16.8,34.2,37.3,26.8,2.2,5.1,552,Poor
3496,25.2,56.0,0.5,4.8,22.6,2.7,1.01,12.4,580,Good
8950,36.4,87.1,96.1,121.7,44.2,25.9,2.18,3.6,710,Poor
7858,34.6,86.1,2.3,17.7,19.4,10.4,1.63,11.3,310,Moderate
5424,37.2,94.9,8.4,16.1,28.3,13.6,2.15,8.3,878,Poor
1340,27.4,81.5,10.1,17.7,20.8,15.8,1.72,5.5,634,Moderate
9375,31.0,67.4,6.7,22.3,27.0,7.8,1.22,11.7,456,Moderate
6839,19.8,83.6,19.6,24.7,22.1,2.4,0.93,10.6,572,Good
609,25.4,76.7,7.1,11.2,18.5,3.3,0.88,11.2,523,Good
8733,46.2,69.1,29.8,48.5,34.7,22.7,1.97,3.6,688,Hazardous
9678,28.0,63.3,1.7,8.4,22.3,4.8,1.01,10.9,443,Good
8336,36.4,78.9,4.9,10.2,21.6,15.0,1.48,6.5,425,Moderate
8008,30.1,74.6,11.3,26.7,41.1,17.2,2.36,7.9,803,Hazardous
3888,23.4,48.3,4.8,10.0,25.9,4.8,1.08,14.3,315,Good
6594,32.3,77.1,14.6,30.5,23.1,18.3,1.3,6.9,613,Poor
9052,27.3,58.7,9.3,21.3,29.0,11.0,1.46,5.4,336,Moderate
2371,34.1,83.5,34.4,42.8,18.7,5.3,1.28,9.8,617,Moderate
2280,20.3,55.4,6.1,9.2,22.6,5.8,1.13,11.5,215,Good
7218,38.4,90.8,25.7,47.3,35.6,22.0,2.2,4.1,638,Poor
5842,27.1,51.0,1.7,7.9,25.6,6.2,0.79,10.1,205,Good
7080,40.5,94.1,33.7,55.4,48.3,22.9,2.81,7.6,803,Hazardous
2084,34.1,59.7,15.0,19.8,21.8,12.0,1.38,6.6,379,Moderate
5031,37.4,67.1,17.8,40.4,30.7,17.4,2.1,3.8,744,Hazardous
3537,34.6,89.7,1.0,22.6,26.8,18.3,1.97,4.2,642,Poor
6632,27.0,74.0,14.2,20.8,15.7,7.0,1.12,10.9,501,Good
5359,35.7,98.8,18.2,35.4,43.2,23.4,1.69,7.5,752,Poor
1752,31.5,63.4,48.0,52.1,31.4,13.9,1.37,8.8,401,Moderate
7962,36.2,79.2,41.2,48.3,33.0,14.6,1.65,5.9,651,Moderate
5791,33.6,60.2,26.6,38.0,25.1,19.1,1.21,5.1,633,Moderate
973,23.2,42.3,6.6,10.0,22.1,8.6,1.08,11.1,268,Good
3210,33.7,80.3,2.6,11.7,29.6,-2.9,1.7,6.6,318,Moderate
6505,25.4,75.1,48.9,57.4,24.7,13.4,1.44,5.5,566,Moderate
1813,34.5,67.9,8.4,18.6,22.4,10.1,1.59,7.1,598,Moderate
1722,24.8,66.3,17.6,24.0,18.2,2.7,0.88,11.8,238,Good
6079,30.4,54.2,2.9,13.7,25.0,14.9,1.22,3.3,364,Moderate
6081,31.4,51.8,0.1,7.5,25.9,11.3,1.33,6.8,493,Moderate
4046,25.5,69.1,2.9,7.5,21.8,6.3,1.0,14.4,285,Good
1355,25.2,57.3,30.4,41.0,18.3,10.6,1.31,5.0,349,Moderate
1840,27.4,53.2,9.8,17.6,27.0,7.3,1.53,5.1,416,Moderate
1435,46.4,87.0,16.6,28.7,35.1,27.5,2.67,5.1,785,Poor
4666,39.1,69.1,39.6,49.5,24.1,7.9,1.6,7.0,765,Moderate
5897,31.1,56.9,1.0,5.0,32.2,10.5,1.35,5.5,436,Moderate
3082,28.8,66.3,17.8,28.5,25.8,1.8,0.98,12.7,429,Good
7010,31.1,55.5,64.1,70.9,25.5,5.4,1.39,5.5,353,Moderate
6651,25.2,42.3,6.9,11.5,12.4,5.4,1.07,13.3,511,Good
5499,39.4,68.7,20.6,33.7,43.2,6.2,2.04,4.5,753,Poor
435,21.1,72.0,3.8,6.3,14.0,4.5,0.98,11.5,440,Good
8183,24.1,64.1,13.8,19.6,22.7,4.6,1.0,12.2,479,Good
7690,32.1,79.9,7.6,39.3,32.3,13.7,3.14,4.9,777,Hazardous
8547,26.1,56.3,1.5,9.1,24.7,3.8,1.13,12.7,471,Good
829,34.7,96.8,4.4,18.2,23.9,-0.1,1.61,5.2,424,Moderate
120,23.0,82.4,2.8,8.1,15.8,3.2,1.02,10.2,304,Good
6598,34.1,70.5,1.3,15.5,32.2,18.0,1.68,10.9,604,Moderate
5956,33.6,61.3,18.2,30.5,26.3,6.1,1.34,5.2,540,Moderate
4234,26.5,46.9,6.1,12.5,18.5,3.1,0.78,12.3,283,Good
5230,28.3,80.8,7.8,16.1,23.9,6.1,1.76,5.1,514,Moderate
1635,20.7,54.0,14.6,22.0,15.9,3.4,0.98,11.7,442,Good
2647,35.1,75.4,27.8,37.4,33.6,17.1,1.19,5.7,485,Moderate
4693,28.5,85.4,6.9,31.1,31.6,10.9,2.03,4.4,629,Poor
9248,39.8,64.7,3.2,14.0,38.7,3.4,2.72,6.0,594,Poor
6335,25.4,71.4,4.1,10.1,22.0,4.1,0.94,14.5,313,Good
8785,38.6,77.0,10.0,20.3,33.2,18.7,1.46,5.3,714,Poor
800,31.2,69.6,17.7,26.1,21.3,9.7,1.41,5.5,354,Moderate
6633,33.7,54.1,13.6,28.3,33.9,18.7,1.94,3.8,733,Poor
5087,41.2,84.8,25.4,47.4,44.9,16.7,2.35,4.5,722,Hazardous
1281,22.0,64.7,8.7,13.3,10.6,4.4,0.99,11.0,599,Good
3456,29.9,66.3,2.3,8.5,27.2,5.8,1.1,10.0,417,Good
8448,25.7,83.1,11.7,20.9,25.1,5.8,1.45,6.8,464,Moderate
2937,31.4,77.3,3.9,13.8,17.6,5.3,1.82,8.8,692,Moderate
1132,25.2,77.1,5.4,10.9,23.9,4.4,0.89,12.9,596,Good
7939,47.3,90.6,12.8,23.8,33.9,7.0,2.48,3.4,454,Hazardous
5661,41.6,69.2,19.8,38.3,39.2,26.5,2.02,5.3,778,Hazardous
2566,20.8,81.6,1.6,2.5,18.5,5.0,1.09,13.5,250,Good
1217,29.5,53.0,17.3,22.9,16.0,3.9,1.04,11.5,463,Good
4940,27.4,52.0,3.8,10.1,20.3,-0.4,1.02,11.9,304,Good
2640,35.5,72.1,15.5,24.4,30.3,12.9,1.65,9.3,484,Moderate
6478,33.5,75.3,37.3,50.1,35.4,15.6,1.21,5.3,413,Moderate
1025,20.7,50.0,11.2,15.4,17.7,3.7,1.05,10.6,338,Good
3023,27.4,61.4,8.3,12.9,21.6,-0.5,0.86,10.8,556,Good
2170,27.9,84.3,10.0,21.8,25.5,15.2,1.71,5.2,612,Moderate
5630,43.6,78.9,14.2,20.4,29.0,14.3,2.02,3.6,467,Poor
3042,22.5,55.3,1.5,6.5,21.0,3.5,1.02,12.2,649,Good
7920,24.7,75.3,12.2,17.8,14.6,7.8,0.94,16.2,427,Good
2767,28.3,66.8,31.2,46.0,21.0,13.4,1.83,3.9,391,Poor
6755,22.5,50.9,10.6,14.8,10.6,7.4,1.1,14.4,219,Good
4880,39.4,75.5,43.6,50.1,29.9,12.2,1.59,6.1,454,Moderate
3877,34.1,58.8,4.3,22.8,34.6,5.5,1.43,6.4,661,Moderate
8108,17.5,74.1,4.4,8.2,26.0,4.1,0.97,10.3,447,Good
8790,24.0,71.5,15.5,25.4,16.0,3.5,1.42,5.7,479,Moderate
4087,32.4,81.7,42.3,59.3,24.1,11.0,1.88,10.5,724,Poor
6405,27.0,52.8,3.3,13.1,15.2,8.0,1.0,13.3,360,Good
4153,26.2,75.9,0.6,4.1,20.2,5.7,1.12,11.9,475,Good
1433,31.8,54.3,3.7,10.0,24.0,4.5,1.44,5.7,362,Moderate
7248,31.9,81.8,12.3,27.2,25.8,11.3,1.44,9.9,620,Moderate
7083,26.6,69.0,0.5,6.8,22.1,5.7,1.18,10.8,388,Good
4900,34.9,86.7,142.0,148.3,32.8,19.7,2.15,5.1,614,Poor
2743,22.6,53.4,8.9,12.8,25.6,6.4,1.04,10.0,470,Good
6553,26.3,61.8,5.9,9.0,15.6,2.5,0.94,10.2,592,Good
322,19.5,71.0,22.7,25.3,13.3,2.6,0.81,10.4,263,Good
9073,35.7,62.1,29.4,40.5,40.5,13.1,1.91,5.3,562,Poor
2944,30.0,78.2,0.8,7.4,20.1,9.2,0.98,17.2,256,Good
4812,25.2,58.3,13.3,21.2,21.2,3.5,1.01,11.2,372,Good
8722,32.4,69.4,10.7,22.0,29.1,17.5,1.94,5.9,609,Poor
2588,43.1,76.0,28.4,39.8,23.5,6.9,2.1,5.7,521,Poor
9014,40.6,101.9,23.6,35.0,39.4,13.2,1.46,8.5,409,Poor
2787,23.7,53.9,3.1,9.5,18.8,6.6,0.97,11.9,303,Good
4559,27.7,41.6,1.3,5.2,15.5,4.0,0.87,11.7,263,Good
2116,25.3,61.4,1.7,7.7,15.9,4.8,0.99,10.6,545,Good
8893,38.6,79.4,9.1,17.6,39.4,2.5,2.08,9.7,464,Poor
7392,33.7,81.0,14.2,18.6,26.5,11.6,1.59,7.0,384,Moderate
2480,22.9,51.6,3.7,10.2,19.4,6.6,1.07,11.2,381,Good
4923,55.9,98.5,32.5,50.9,39.6,17.4,1.85,6.9,846,Hazardous
5288,30.4,73.4,88.4,112.0,29.4,8.8,1.85,5.4,844,Moderate
3785,27.8,58.4,4.0,13.8,21.6,16.5,1.5,5.3,622,Moderate
